run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,hotset_A99_pct,hotset_B99_pct,hotset_top10pct_coverage,hotset_top5pct_coverage,hotset_top1pct_coverage,hotset_pool_N,hotset_A99_pct_std,hotset_A99_pct_ci_lo,hotset_A99_pct_ci_hi,hotset_A99_pct_n,hotset_B99_pct_std,hotset_B99_pct_ci_lo,hotset_B99_pct_ci_hi,hotset_B99_pct_n,hotset_top10pct_coverage_std,hotset_top10pct_coverage_ci_lo,hotset_top10pct_coverage_ci_hi,hotset_top10pct_coverage_n,hotset_top5pct_coverage_std,hotset_top5pct_coverage_ci_lo,hotset_top5pct_coverage_ci_hi,hotset_top5pct_coverage_n,hotset_top1pct_coverage_std,hotset_top1pct_coverage_ci_lo,hotset_top1pct_coverage_ci_hi,hotset_top1pct_coverage_n,hotset_pool_N_std,hotset_pool_N_ci_lo,hotset_pool_N_ci_hi,hotset_pool_N_n
glm5_lb1_gov_report_32768_ld03,GLM-5,all_layers,32768,ld,longbench_v1,gov_report,18178,2048,57.711704858800026,70.48118918576276,0.5530506280752329,0.34459366859533846,0.0892023856823261,20225.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_32768_s01,GLM-5,all_layers,32768,bf,longbench_v1,gov_report,18688,512,50.89815041114588,61.708408958265714,0.5975345220321264,0.37096239970280576,0.08915253174610627,19199.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_32768_s02,GLM-5,all_layers,32768,bf,longbench_v1,gov_report,18374,434,49.1805424330548,59.74194005777992,0.5979708518652885,0.3693199441687345,0.08761046764685249,18807.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_32768_s03,GLM-5,all_layers,32768,bf,longbench_v1,gov_report,21980,360,46.63598558804253,56.46948363274072,0.6365238682823777,0.4099434783000563,0.10196145658627985,22339.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_65536_s00,GLM-5,all_layers,65536,bf,longbench_v1,gov_report,43523,512,35.08832918152989,44.38769924871575,0.7728521273686335,0.5817375305371407,0.18457734279143503,44034.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_65536_s01,GLM-5,all_layers,65536,bf,longbench_v1,gov_report,51468,495,32.28560022659556,40.871484980641675,0.8029104312806284,0.6241362763820801,0.2109506935750718,51962.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_65536_s02,GLM-5,all_layers,65536,bf,longbench_v1,gov_report,39907,445,32.73823481005459,41.76222239591177,0.7912189700149452,0.5880193984532556,0.17508937052092335,40351.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_8192_ld04,GLM-5,all_layers,8192,ld,longbench_v1,gov_report,4972,2048,83.69005739001464,92.92451623980331,0.2816507755181728,0.15352234473595253,0.03332661054073236,7019.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_8192_s00,GLM-5,all_layers,8192,bf,longbench_v1,gov_report,4663,512,83.78034154995885,91.12326920599048,0.23937708292251977,0.12349202082707332,0.025302679110796023,5174.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_gov_report_8192_s01,GLM-5,all_layers,8192,bf,longbench_v1,gov_report,4182,402,84.99135601470317,92.13928845174753,0.216922090892692,0.11044966722876004,0.022434931960789006,4583.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_multi_news_8192_ld00,GLM-5,all_layers,8192,ld,longbench_v1,multi_news,4490,2048,83.5096472544843,93.07394201841196,0.2658596833546956,0.14436799440628442,0.03111860690972744,6537.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_multi_news_8192_ld01,GLM-5,all_layers,8192,ld,longbench_v1,multi_news,4451,2048,81.35442068960074,91.55775741648316,0.27435949521187025,0.14739083938109568,0.03128373928559132,6498.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_multi_news_8192_ld05,GLM-5,all_layers,8192,ld,longbench_v1,multi_news,4555,2048,83.29080542803659,93.22097421915657,0.2758595546086629,0.1485919646727733,0.031702714088635564,6602.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_multi_news_8192_s03,GLM-5,all_layers,8192,bf,longbench_v1,multi_news,4586,483,81.36067431647544,89.74966102037928,0.23812810641954657,0.12154864449786323,0.0248540651584979,5068.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_qmsum_16384_ld01,GLM-5,all_layers,16384,ld,longbench_v1,qmsum,10630,2048,66.0228598936495,79.1777153455784,0.4411341165884947,0.25733183591793746,0.05958639047084711,12677.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_qmsum_16384_ld05,GLM-5,all_layers,16384,ld,longbench_v1,qmsum,12732,2048,65.04117935879219,78.39224401914707,0.469203912294828,0.2789416649402716,0.06762564182281494,14779.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_qmsum_16384_s03,GLM-5,all_layers,16384,bf,longbench_v1,qmsum,12680,117,43.00632809932592,51.50207196159056,0.5310237298480988,0.29403964077566846,0.06213724009697567,12796.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_qmsum_32768_ld00,GLM-5,all_layers,32768,ld,longbench_v1,qmsum,25406,2048,50.43477570523795,65.1233763625852,0.6531858505346836,0.43355587201240736,0.11994466720483242,27453.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_qmsum_32768_ld01,GLM-5,all_layers,32768,ld,longbench_v1,qmsum,16470,2048,52.00252574557268,66.205828877968,0.5744270514219235,0.35093279068286604,0.08539424798427483,18517.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_qmsum_32768_ld04,GLM-5,all_layers,32768,ld,longbench_v1,qmsum,25159,2048,43.554542078764676,56.807510409657006,0.6867506595758291,0.448506113810417,0.12000759442647298,27206.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_qmsum_32768_ld05,GLM-5,all_layers,32768,ld,longbench_v1,qmsum,25408,2048,50.100397386866156,65.03406506684598,0.6537240541410096,0.43391152939271094,0.12001592392351529,27455.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_qmsum_32768_s00,GLM-5,all_layers,32768,bf,longbench_v1,qmsum,16467,67,35.104771032914755,41.6146727523973,0.6388440721572426,0.3717194713033391,0.0800742008108496,16533.0,,,,,,,,,,,,,,,,,,,,,,,,
glm5_lb1_qmsum_8192_ld02,GLM-5,all_layers,8192,ld,longbench_v1,qmsum,5391,2048,77.56530911949037,88.54548024351733,0.31093943730378765,0.16878640346038035,0.035702965198419034,7438.0,,,,,,,,,,,,,,,,,,,,,,,,
