run_id,model,variant,rung,kind,source,task,prompt_tokens,decode_steps,moe_adjacent_overlap,moe_lift,moe_adjacent_overlap_std,moe_adjacent_overlap_ci_lo,moe_adjacent_overlap_ci_hi,moe_adjacent_overlap_n,moe_lift_std,moe_lift_ci_lo,moe_lift_ci_hi,moe_lift_n
v32_lb1_qmsum_16384_s03,DeepSeek-V3.2,all_layers,16384,bf,longbench_v1,qmsum,13046,109,0.22986510217113665,7.355683269476373,,,,,,,,
v32_lb1_qmsum_32768_ld00,DeepSeek-V3.2,all_layers,32768,ld,longbench_v1,qmsum,25322,2048,0.23779963950608962,7.609588464194868,,,,,,,,
v32_lb1_qmsum_32768_ld01,DeepSeek-V3.2,all_layers,32768,ld,longbench_v1,qmsum,17289,2048,0.23150363020736825,7.408116166635784,,,,,,,,
v32_lb1_qmsum_32768_ld04,DeepSeek-V3.2,all_layers,32768,ld,longbench_v1,qmsum,26894,2048,0.20820523726900594,6.66256759260819,,,,,,,,
v32_lb1_qmsum_32768_ld05,DeepSeek-V3.2,all_layers,32768,ld,longbench_v1,qmsum,25324,2048,0.2091517443525428,6.69285581928137,,,,,,,,
v32_lb1_qmsum_32768_s00,DeepSeek-V3.2,all_layers,32768,bf,longbench_v1,qmsum,17286,32,0.2635567296996663,8.433815350389322,,,,,,,,
v32_lb1_qmsum_8192_ld02,DeepSeek-V3.2,all_layers,8192,ld,longbench_v1,qmsum,5449,2048,0.17884561932516885,5.723059818405403,,,,,,,,
v32_lb1_qmsum_8192_ld03,DeepSeek-V3.2,all_layers,8192,ld,longbench_v1,qmsum,5444,2048,0.18360447585196168,5.875343227262774,,,,,,,,
v32_lb1_qmsum_8192_s02,DeepSeek-V3.2,all_layers,8192,bf,longbench_v1,qmsum,5032,33,0.2681169181034483,8.579741379310345,,,,,,,,
v32_lb2_code_131072_s01,DeepSeek-V3.2,all_layers,131072,bf,longbench_v2,Code Repository Understanding,128748,9,0.28771551724137934,9.206896551724139,,,,,,,,
v32_lb2_code_16384_s03,DeepSeek-V3.2,all_layers,16384,bf,longbench_v2,Code Repository Understanding,14059,9,0.2828663793103448,9.051724137931034,,,,,,,,
v32_lb2_code_32768_s03,DeepSeek-V3.2,all_layers,32768,bf,longbench_v2,Code Repository Understanding,30445,9,0.27424568965517243,8.775862068965518,,,,,,,,
v32_lb2_code_65536_s03,DeepSeek-V3.2,all_layers,65536,bf,longbench_v2,Code Repository Understanding,63213,9,0.2828663793103448,9.051724137931034,,,,,,,,
v32_lb2_code_8192_s03,DeepSeek-V3.2,all_layers,8192,bf,longbench_v2,Code Repository Understanding,5869,63,0.26595522803114574,8.510567296996664,,,,,,,,
v32_lb2_long-dialogue_16384_s01,DeepSeek-V3.2,all_layers,16384,bf,longbench_v2,Long-dialogue History Understanding,13749,68,0.2419583118888317,7.742665980442615,,,,,,,,
v32_lb2_long-dialogue_32768_s01,DeepSeek-V3.2,all_layers,32768,bf,longbench_v2,Long-dialogue History Understanding,30132,128,0.22181306000543033,7.0980179201737705,,,,,,,,
v32_lb2_long-dialogue_65536_s01,DeepSeek-V3.2,all_layers,65536,bf,longbench_v2,Long-dialogue History Understanding,39166,128,0.2741990225359761,8.774368721151236,,,,,,,,
v32_lb2_long-dialogue_8192_s01,DeepSeek-V3.2,all_layers,8192,bf,longbench_v2,Long-dialogue History Understanding,5556,128,0.22639492261743144,7.244637523757806,,,,,,,,
v32_lb2_long_131072_s02,DeepSeek-V3.2,all_layers,131072,bf,longbench_v2,Long In-context Learning,127762,12,0.27155172413793105,8.689655172413794,,,,,,,,
v32_lb2_long_131072_s03,DeepSeek-V3.2,all_layers,131072,bf,longbench_v2,Long In-context Learning,128467,14,0.2296087533156499,7.347480106100797,,,,,,,,
v32_lb2_multi-document_16384_s02,DeepSeek-V3.2,all_layers,16384,bf,longbench_v2,Multi-Document QA,13844,9,0.2869073275862069,9.181034482758621,,,,,,,,
v32_lb2_multi-document_32768_s02,DeepSeek-V3.2,all_layers,32768,bf,longbench_v2,Multi-Document QA,30228,9,0.29310344827586204,9.379310344827585,,,,,,,,
v32_lb2_multi-document_65536_s02,DeepSeek-V3.2,all_layers,65536,bf,longbench_v2,Multi-Document QA,50723,9,0.2920258620689655,9.344827586206897,,,,,,,,
v32_lb2_multi-document_8192_s02,DeepSeek-V3.2,all_layers,8192,bf,longbench_v2,Multi-Document QA,5652,9,0.2823275862068966,9.03448275862069,,,,,,,,
v32_lb2_single-document_131072_s00,DeepSeek-V3.2,all_layers,131072,bf,longbench_v2,Single-Document QA,76095,128,0.2489648384469183,7.966874830301386,,,,,,,,
v32_lb2_single-document_16384_s00,DeepSeek-V3.2,all_layers,16384,bf,longbench_v2,Single-Document QA,13795,23,0.24128134796238243,7.721003134796238,,,,,,,,
v32_lb2_single-document_32768_s00,DeepSeek-V3.2,all_layers,32768,bf,longbench_v2,Single-Document QA,30178,128,0.26618924789573717,8.51805593266359,,,,,,,,
v32_lb2_single-document_65536_s00,DeepSeek-V3.2,all_layers,65536,bf,longbench_v2,Single-Document QA,62947,16,0.24123563218390806,7.719540229885058,,,,,,,,
v32_lb2_single-document_8192_s00,DeepSeek-V3.2,all_layers,8192,bf,longbench_v2,Single-Document QA,5603,18,0.22641987829614604,7.245436105476673,,,,,,,,
v32_ruler_niah_single_2_131072_s00,DeepSeek-V3.2,all_layers,131072,bf,ruler,niah_single_2,130928,19,0.24748563218390804,7.919540229885057,,,,,,,,
v32_ruler_niah_single_2_131072_s01,DeepSeek-V3.2,all_layers,131072,bf,ruler,niah_single_2,130930,20,0.23434664246823955,7.499092558983666,,,,,,,,
v32_ruler_niah_single_2_131072_s02,DeepSeek-V3.2,all_layers,131072,bf,ruler,niah_single_2,130932,21,0.23308189655172415,7.458620689655173,,,,,,,,
v32_ruler_niah_single_2_131072_s03,DeepSeek-V3.2,all_layers,131072,bf,ruler,niah_single_2,130340,21,0.24515086206896552,7.844827586206897,,,,,,,,
v32_ruler_niah_single_2_16384_s00,DeepSeek-V3.2,all_layers,16384,bf,ruler,niah_single_2,15661,43,0.2640086206896552,8.448275862068966,,,,,,,,
v32_ruler_niah_single_2_16384_s01,DeepSeek-V3.2,all_layers,16384,bf,ruler,niah_single_2,16245,60,0.2581092928112215,8.259497369959089,,,,,,,,
v32_ruler_niah_single_2_16384_s02,DeepSeek-V3.2,all_layers,16384,bf,ruler,niah_single_2,16243,21,0.2495689655172414,7.9862068965517246,,,,,,,,
v32_ruler_niah_single_2_16384_s03,DeepSeek-V3.2,all_layers,16384,bf,ruler,niah_single_2,16241,16,0.26853448275862063,8.59310344827586,,,,,,,,
v32_ruler_niah_single_2_32768_s00,DeepSeek-V3.2,all_layers,32768,bf,ruler,niah_single_2,32629,21,0.23696120689655176,7.582758620689656,,,,,,,,
v32_ruler_niah_single_2_32768_s01,DeepSeek-V3.2,all_layers,32768,bf,ruler,niah_single_2,32629,43,0.2535919540229885,8.114942528735632,,,,,,,,
v32_ruler_niah_single_2_32768_s02,DeepSeek-V3.2,all_layers,32768,bf,ruler,niah_single_2,32627,20,0.2346869328493648,7.509981851179673,,,,,,,,
v32_ruler_niah_single_2_32768_s03,DeepSeek-V3.2,all_layers,32768,bf,ruler,niah_single_2,32625,19,0.2441331417624521,7.812260536398467,,,,,,,,
v32_ruler_niah_single_2_65536_s00,DeepSeek-V3.2,all_layers,65536,bf,ruler,niah_single_2,65396,21,0.2401939655172414,7.686206896551725,,,,,,,,
v32_ruler_niah_single_2_65536_s01,DeepSeek-V3.2,all_layers,65536,bf,ruler,niah_single_2,65394,51,0.2583189655172414,8.266206896551724,,,,,,,,
v32_ruler_niah_single_2_65536_s02,DeepSeek-V3.2,all_layers,65536,bf,ruler,niah_single_2,65392,19,0.23910440613026818,7.651340996168582,,,,,,,,
v32_ruler_niah_single_2_65536_s03,DeepSeek-V3.2,all_layers,65536,bf,ruler,niah_single_2,65394,20,0.2296960072595281,7.350272232304899,,,,,,,,
v32_ruler_niah_single_2_8192_s00,DeepSeek-V3.2,all_layers,8192,bf,ruler,niah_single_2,8047,20,0.25499092558983666,8.159709618874773,,,,,,,,
v32_ruler_niah_single_2_8192_s01,DeepSeek-V3.2,all_layers,8192,bf,ruler,niah_single_2,7459,21,0.2493534482758621,7.979310344827587,,,,,,,,
v32_ruler_niah_single_2_8192_s02,DeepSeek-V3.2,all_layers,8192,bf,ruler,niah_single_2,8051,21,0.24870689655172412,7.958620689655172,,,,,,,,
v32_ruler_niah_single_2_8192_s03,DeepSeek-V3.2,all_layers,8192,bf,ruler,niah_single_2,8049,20,0.2260662431941924,7.234119782214157,,,,,,,,
v32_ruler_qa_1_131072_s00,DeepSeek-V3.2,all_layers,131072,bf,ruler,qa_1,129658,3,0.14547413793103448,4.655172413793103,,,,,,,,
v32_ruler_qa_1_131072_s01,DeepSeek-V3.2,all_layers,131072,bf,ruler,qa_1,128593,32,0.23261957730812013,7.443826473859844,,,,,,,,
v32_ruler_qa_1_131072_s02,DeepSeek-V3.2,all_layers,131072,bf,ruler,qa_1,129986,9,0.2801724137931034,8.96551724137931,,,,,,,,
v32_ruler_qa_1_131072_s03,DeepSeek-V3.2,all_layers,131072,bf,ruler,qa_1,130836,5,0.17025862068965517,5.448275862068965,,,,,,,,
v32_ruler_qa_1_16384_s00,DeepSeek-V3.2,all_layers,16384,bf,ruler,qa_1,14176,3,0.15086206896551724,4.827586206896552,,,,,,,,
v32_ruler_qa_1_16384_s01,DeepSeek-V3.2,all_layers,16384,bf,ruler,qa_1,15599,32,0.29094827586206895,9.310344827586206,,,,,,,,
v32_ruler_qa_1_16384_s02,DeepSeek-V3.2,all_layers,16384,bf,ruler,qa_1,16163,32,0.3295328142380422,10.54505005561735,,,,,,,,
v32_ruler_qa_1_16384_s03,DeepSeek-V3.2,all_layers,16384,bf,ruler,qa_1,14719,4,0.19468390804597704,6.229885057471265,,,,,,,,
v32_ruler_qa_1_32768_s00,DeepSeek-V3.2,all_layers,32768,bf,ruler,qa_1,32707,3,0.13254310344827586,4.241379310344827,,,,,,,,
v32_ruler_qa_1_32768_s01,DeepSeek-V3.2,all_layers,32768,bf,ruler,qa_1,31659,32,0.2485400444938821,7.953281423804227,,,,,,,,
v32_ruler_qa_1_32768_s02,DeepSeek-V3.2,all_layers,32768,bf,ruler,qa_1,32500,9,0.21363146551724138,6.836206896551724,,,,,,,,
v32_ruler_qa_1_32768_s03,DeepSeek-V3.2,all_layers,32768,bf,ruler,qa_1,32139,4,0.1781609195402299,5.7011494252873565,,,,,,,,
v32_ruler_qa_1_65536_s00,DeepSeek-V3.2,all_layers,65536,bf,ruler,qa_1,64499,3,0.14439655172413793,4.620689655172414,,,,,,,,
v32_ruler_qa_1_65536_s01,DeepSeek-V3.2,all_layers,65536,bf,ruler,qa_1,63663,31,0.2331896551724138,7.462068965517242,,,,,,,,
v32_ruler_qa_1_65536_s02,DeepSeek-V3.2,all_layers,65536,bf,ruler,qa_1,62874,9,0.22144396551724138,7.086206896551724,,,,,,,,
v32_ruler_qa_1_65536_s03,DeepSeek-V3.2,all_layers,65536,bf,ruler,qa_1,64085,4,0.17959770114942528,5.747126436781609,,,,,,,,
v32_ruler_qa_1_8192_s00,DeepSeek-V3.2,all_layers,8192,bf,ruler,qa_1,8119,32,0.2554226918798665,8.173526140155728,,,,,,,,
v32_ruler_qa_1_8192_s01,DeepSeek-V3.2,all_layers,8192,bf,ruler,qa_1,8132,32,0.24395161290322578,7.806451612903225,,,,,,,,
v32_ruler_qa_1_8192_s02,DeepSeek-V3.2,all_layers,8192,bf,ruler,qa_1,6452,16,0.2879310344827586,9.213793103448275,,,,,,,,
v32_ruler_qa_1_8192_s03,DeepSeek-V3.2,all_layers,8192,bf,ruler,qa_1,6482,4,0.18821839080459768,6.022988505747126,,,,,,,,
AGG:v32:8192:bf,DeepSeek-V3.2,all_layers,8192,bf,aggregate,n=20,6220.25,101.75,0.2567293817305208,8.215340215376665,0.025719598136915326,0.24518433855981683,0.26745953416317403,20,0.8230271403812904,7.845898833914139,8.558705093221569,20
AGG:v32:8192:ld,DeepSeek-V3.2,all_layers,8192,ld,aggregate,n=8,5165.125,2048,0.24601419444771996,7.872454222327039,0.04977261104429252,0.21270838422081093,0.27822188800262787,8,1.5927235534173607,6.80666829506595,8.903100416084092,8
AGG:v32:8192:all,DeepSeek-V3.2,all_layers,8192,all,aggregate,n=28,5918.785714285715,657.8214285714286,0.2536678996497206,8.117372788791059,0.03364616184511284,0.23982384396518228,0.2651190047101276,28,1.076677179043611,7.674363006885833,8.483808150724084,28
