benchmark,context,model,impl,mode,n_items,metric,value,delta_vs_clean,delta_ci_lo,delta_ci_hi,token_abs_dlogprob_mean,token_abs_dlogprob_p90,n_tokens,events,equivalent_to_noise_floor,floor_delta_ci,identical_token_streams,first_divergence_median
wikitext2,2048,GLM-5,B,perm_once_B,50,ppl,2.86072,-0.002281,-0.009876,0.005188,0.111069,0.34499,51200,150,True,"[-0.010882, 0.001953]",,
longbook_ppl,32768,GLM-5,-,clean,10,ppl,1.60987,0.0,0.0,0.0,0.0,0.0,20480,150,,,,
longbook_ppl,32768,GLM-5,-,clean2,10,ppl,1.60178,-0.008094,-0.023421,0.002193,0.094065,0.26143,20480,150,,,,
longbook_ppl,32768,GLM-5,B,ctrl_identity,10,ppl,1.59905,-0.010818,-0.027081,0.001976,0.096982,0.26993,20480,160,True,"[-0.023421, 0.002193]",,
longbook_ppl,32768,GLM-5,-,ctrl_numeric,10,ppl,1.60401,-0.005856,-0.014339,0.00125,0.093513,0.25982,20480,160,True,"[-0.023421, 0.002193]",,
longbook_ppl,32768,GLM-5,A,perm_once_A,10,ppl,1.60525,-0.004622,-0.021046,0.005694,0.09182,0.26262,20480,170,True,"[-0.023421, 0.002193]",,
longbook_ppl,32768,GLM-5,B,perm_once_B,10,ppl,1.60501,-0.004862,-0.017513,0.005067,0.096203,0.25348,20480,180,True,"[-0.023421, 0.002193]",,
longbook_ppl,65536,GLM-5,-,clean,10,ppl,1.888,0.0,0.0,0.0,0.0,0.0,20480,180,,,,
longbook_ppl,65536,GLM-5,-,clean2,10,ppl,1.89496,0.006962,-0.002677,0.019287,0.116392,0.34762,20480,180,,,,
longbook_ppl,65536,GLM-5,A,perm_once_A,10,ppl,1.89119,0.003192,-0.013975,0.020208,0.11573,0.34473,20480,190,True,"[-0.002677, 0.019287]",,
longbook_ppl,65536,GLM-5,B,perm_once_B,10,ppl,1.89208,0.004085,-0.00524,0.015377,0.115075,0.34102,20480,200,True,"[-0.002677, 0.019287]",,
longbook_ppl,131072,GLM-5,-,clean,10,ppl,2.0919,0.0,0.0,0.0,0.0,0.0,20480,200,,,,
longbook_ppl,131072,GLM-5,-,clean2,10,ppl,2.08794,-0.003958,-0.023657,0.010181,0.126682,0.38571,20480,200,,,,
longbook_ppl,131072,GLM-5,B,perm_once_B,10,ppl,2.09134,-0.000556,-0.010502,0.006682,0.123899,0.39383,20480,210,True,"[-0.023657, 0.010181]",,
ruler_niah2+qa1,32768,GLM-5,-,clean,10,accuracy,1.0,0.0,,,,,,,,,10,9999.0
ruler_niah2+qa1,131072,GLM-5,-,clean,10,accuracy,1.0,0.0,,,,,,,,,10,9999.0
ruler_niah2+qa1,32768,GLM-5,B,perm_once_B,10,accuracy,1.0,0.0,,,,,,,,,10,9999.0
ruler_niah2+qa1,131072,GLM-5,B,perm_once_B,10,accuracy,1.0,0.0,,,,,,,,,8,9999.0
ruler_niah2+qa1,32768,GLM-5,B,perm_periodic_B,10,accuracy,1.0,0.0,,,,,,,,,10,9999.0
ruler_niah2+qa1,131072,GLM-5,B,perm_periodic_B,10,accuracy,1.0,0.0,,,,,,,,,8,9999.0
